status,stop_id,city,direction,name,cross,routes,owl_routes,street,position,x,y,latitude,longitude
In Service,1933,CHICAGO,NB,Clark & Cullom,CULLOM,22,N22,CLARK,NT,355393.47233564197,587845.5599265503,41.959728,-87.665146
In Service,1935,CHICAGO,NB,Clark & Sunnyside,SUNNYSIDE,"22,78",N22,CLARK,NS,355297.63842141,588249.4679043237,41.963371,-87.666264
In Service,1936,CHICAGO,NB,Clark & Wilson,WILSON,"22,78",N22,CLARK,NS,355266.1526984762,588449.7174648643,41.965176,-87.666625
In Service,1937,CHICAGO,NB,Clark & Leland,LELAND,22,N22,CLARK,NS,355237.562923046,588650.8783404992,41.966989,-87.666951
In Service,1939,CHICAGO,NB,Clark & Ainslie,AINSLIE,22,N22,CLARK,NS,355166.7033350099,589182.1662615122,41.971777,-87.667756
In Service,1942,CHICAGO,NB,Clark & Foster,FOSTER,22,N22,CLARK,NS,355116.23003544565,589661.7401769286,41.976098,-87.66832
In Service,1943,CHICAGO,NB,Clark & Berwyn,BERWYN,22,N22,CLARK,NS,355129.5571624887,589866.7817508808,41.977943,-87.66814
In Service,1945,CHICAGO,NB,Clark & Catalpa,CATALPA,22,N22,CLARK,NS,355119.1954293433,590272.5788916027,41.981597,-87.668227
In Service,1948,CHICAGO,NB,Clark & Hollywood,HOLLYWOOD,22,N22,CLARK,NS,355045.2657774551,590689.6572320951,41.985357,-87.66908
In Service,1950,CHICAGO,NB,Clark & Ardmore,ARDMORE,22,N22,CLARK,FS,354995.6518510422,590996.2914247811,41.988121,-87.66965
In Service,1951,CHICAGO,NB,Clark & Ridge,RIDGE,22,N22,CLARK,NS,354982.61007425986,591139.3695936262,41.98941,-87.669794
In Service,1952,CHICAGO,NB,Clark & Elmdale/Peterson,ELMDALE/PETERSON,22,N22,CLARK,NS,354976.70945573284,591280.6148096673,41.990682,-87.669852
In Service,1953,CHICAGO,NB,Clark & Glenlake,GLENLAKE,22,N22,CLARK,NS,354970.11753766716,591489.7232495503,41.992565,-87.669912
In Service,1955,CHICAGO,NB,Clark & Rosemont,ROSEMONT,22,N22,CLARK,NS,354946.9391705465,591903.975197885,41.996296,-87.670153
In Service,1956,CHICAGO,NB,Clark & Devon,DEVON,22,N22,CLARK,NS,354925.82251905336,592084.3132749675,41.997921,-87.670391
In Service,1957,CHICAGO,NB,Clark & Arthur,ARTHUR,22,N22,CLARK,FS,354837.7717596774,592391.7622633901,42.000695,-87.671425
In Service,1958,CHICAGO,NB,Clark & Albion,ALBION,22,N22,CLARK,NS,354811.45542630926,592494.9724431246,42.001626,-87.671733
In Service,1959,CHICAGO,NB,Clark & North Shore,NORTH SHORE,22,N22,CLARK,NS,354756.72586234426,592694.2679279599,42.003424,-87.672375
In Service,1963,CHICAGO,NB,Clark & Lunt,LUNT,22,N22,CLARK,NS,354629.24326816987,593304.3249953475,42.008925,-87.673857
In Service,1967,CHICAGO,NB,Clark & Chase,CHASE,22,N22,CLARK,NS,354551.0557411548,593829.8999747708,42.013662,-87.674752
In Service,1968,CHICAGO,NB,Clark & Jarvis,JARVIS,22,N22,CLARK,NS,354517.1286684971,594083.7858136118,42.01595,-87.675138
In Service,1970,CHICAGO,SEB,Division & Austin Terminal,AUSTIN,70,,DIVISION,TERM,346327.5724524999,581346.1090591991,41.901798,-87.775009
In Service,1971,CHICAGO,EB,Division & Mayfield,MAYFIELD,70,,DIVISION,NS,346490.66077989317,581366.4992008768,41.901972,-87.773042
In Service,1972,CHICAGO,EB,Division & Menard,MENARD,70,,DIVISION,NS,346692.09994636546,581371.9274170293,41.902009,-87.770614
In Service,1973,CHICAGO,EB,Division & Waller,WALLER,70,,DIVISION,NS,346893.53962109523,581377.250266805,41.902045,-87.768186
In Service,1974,CHICAGO,EB,Division & Central,CENTRAL,70,,DIVISION,NS,347091.83039829286,581381.8915437968,41.902075,-87.765796
In Service,1975,CHICAGO,EB,Division & Pine,PINE,70,,DIVISION,NS,347246.22890468617,581385.9136625413,41.902102,-87.763935
In Service,1976,CHICAGO,EB,Division & Long,LONG,70,,DIVISION,NS,347486.6704092579,581390.9569117149,41.902133,-87.761037
In Service,1977,CHICAGO,EB,Division & Lockwood,LOCKWOOD,70,,DIVISION,NS,347709.937909196,581395.5599346259,41.902161,-87.758346
In Service,1979,CHICAGO,EB,Division & Leclaire,LECLAIRE,70,,DIVISION,NS,348118.3886842607,581404.1962295003,41.902214,-87.753423
In Service,1981,CHICAGO,EB,Division & Lamon,LAMON,70,,DIVISION,NS,348528.1505343015,581415.1974741874,41.902288,-87.748484
In Service,1983,CHICAGO,EB,4659 W Division,4659 WEST,70,,DIVISION,MB,348964.2331117776,581423.7375400427,41.902338,-87.743228
